Entity,Code,Year,Share of male adults who smoke or use tobacco (age-standardized)
Lesotho,LSO,2007,45.5
Lesotho,LSO,2010,45.3
Lesotho,LSO,2015,44.6
Lesotho,LSO,2020,44.2
Lesotho,LSO,2021,44
Lesotho,LSO,2022,43.6
Liberia,LBR,2000,28.5
Liberia,LBR,2005,24.4
Liberia,LBR,2007,22.9
Liberia,LBR,2010,20.9
Liberia,LBR,2015,18
Liberia,LBR,2020,15.6
Liberia,LBR,2021,15.1
Liberia,LBR,2022,14.6
Lithuania,LTU,2000,59.8
Lithuania,LTU,2005,54.9
Lithuania,LTU,2007,53.1
Lithuania,LTU,2010,50.4
Lithuania,LTU,2015,46.4
Lithuania,LTU,2020,42.5
Lithuania,LTU,2021,41.8
Lithuania,LTU,2022,41.1
Low-income countries,,2000,34.714066
Low-income countries,,2005,30.476295
Low-income countries,,2007,28.943356
Low-income countries,,2010,26.917242
Low-income countries,,2015,24.003132
Low-income countries,,2020,21.532612
Low-income countries,,2021,21.06157
Low-income countries,,2022,20.63499
Lower-middle-income countries,,2000,60.956665
Lower-middle-income countries,,2005,54.257717
Lower-middle-income countries,,2007,51.39879
Lower-middle-income countries,,2010,47.596474
Lower-middle-income countries,,2015,41.86034
Lower-middle-income countries,,2020,36.90475
Lower-middle-income countries,,2021,35.96734
Lower-middle-income countries,,2022,35.12686
Luxembourg,LUX,2000,34.9
Luxembourg,LUX,2005,32.4
Luxembourg,LUX,2007,31.3
Luxembourg,LUX,2010,29.7
Luxembourg,LUX,2015,27.4
Luxembourg,LUX,2020,25.2
Luxembourg,LUX,2021,24.8
Luxembourg,LUX,2022,24.4
Madagascar,MDG,2000,57.8
Madagascar,MDG,2005,53.6
Madagascar,MDG,2007,52.2
Madagascar,MDG,2010,49.9
Madagascar,MDG,2015,46.9
Madagascar,MDG,2020,44
Madagascar,MDG,2021,43.4
Madagascar,MDG,2022,43
Malawi,MWI,2000,35.3
Malawi,MWI,2005,29.6
Malawi,MWI,2007,27.7
Malawi,MWI,2010,24.9
Malawi,MWI,2015,21
Malawi,MWI,2020,17.6
Malawi,MWI,2021,16.9
Malawi,MWI,2022,16.4
Malaysia,MYS,2000,56.3
Malaysia,MYS,2005,52.9
Malaysia,MYS,2007,51.5
Malaysia,MYS,2010,49.8
Malaysia,MYS,2015,46.7
Malaysia,MYS,2020,44.3
Malaysia,MYS,2021,43.5
Malaysia,MYS,2022,43.3
Maldives,MDV,2000,60.2
Maldives,MDV,2005,55.1
Maldives,MDV,2007,53.6
Maldives,MDV,2010,50.9
Maldives,MDV,2015,47.1
Maldives,MDV,2020,43.8
Maldives,MDV,2021,43.1
Maldives,MDV,2022,42.2
Mali,MLI,2000,28.9
Mali,MLI,2005,25
Mali,MLI,2007,23.4
Mali,MLI,2010,21.4
Mali,MLI,2015,18.5
Mali,MLI,2020,16
Mali,MLI,2021,15.5
Mali,MLI,2022,15.1
Malta,MLT,2000,41.5
Malta,MLT,2005,37.3
Malta,MLT,2007,36
Malta,MLT,2010,33.7
Malta,MLT,2015,30.3
Malta,MLT,2020,27.5
Malta,MLT,2021,26.9
Malta,MLT,2022,26.3
Marshall Islands,MHL,2000,45.5
Marshall Islands,MHL,2005,46.5
Marshall Islands,MHL,2007,47.3
Marshall Islands,MHL,2010,48
Marshall Islands,MHL,2015,49.4
Marshall Islands,MHL,2020,50.7
Marshall Islands,MHL,2021,51
Marshall Islands,MHL,2022,51.2
Mauritania,MRT,2000,36.8
Mauritania,MRT,2005,30.8
Mauritania,MRT,2007,28.6
Mauritania,MRT,2010,25.7
Mauritania,MRT,2015,21.5
Mauritania,MRT,2020,18.1
Mauritania,MRT,2021,17.4
Mauritania,MRT,2022,16.9
Mauritius,MUS,2000,46.1
Mauritius,MUS,2005,43.8
Mauritius,MUS,2007,43.4
Mauritius,MUS,2010,42.2
Mauritius,MUS,2015,40.8
Mauritius,MUS,2020,39.6
Mauritius,MUS,2021,39.1
Mauritius,MUS,2022,38.8
Mexico,MEX,2000,33.5
Mexico,MEX,2005,30.7
Mexico,MEX,2007,29.7
Mexico,MEX,2010,28.2
Mexico,MEX,2015,25.8
Mexico,MEX,2020,23.8
Mexico,MEX,2021,23.4
Mexico,MEX,2022,23
Moldova,MDA,2000,44.4
Moldova,MDA,2005,45.9
Moldova,MDA,2007,46.7
Moldova,MDA,2010,47.6
Moldova,MDA,2015,49.6
Moldova,MDA,2020,51.6
Moldova,MDA,2021,52
Moldova,MDA,2022,52.4
Mongolia,MNG,2000,57.9
Mongolia,MNG,2005,56.1
Mongolia,MNG,2007,55.5
Mongolia,MNG,2010,54.8
Mongolia,MNG,2015,53.3
Mongolia,MNG,2020,52.6
Mongolia,MNG,2021,51.9
Mongolia,MNG,2022,51.7
Montenegro,MNE,2000,40.9
Montenegro,MNE,2005,38
Montenegro,MNE,2007,37
Montenegro,MNE,2010,35.7
Montenegro,MNE,2015,33.6
Montenegro,MNE,2020,31.5
Montenegro,MNE,2021,31.3
Montenegro,MNE,2022,30.9
Morocco,MAR,2000,37.9
Morocco,MAR,2005,34.4
Morocco,MAR,2007,33
Morocco,MAR,2010,31.3
Morocco,MAR,2015,28.4
Morocco,MAR,2020,25.9
Morocco,MAR,2021,25.5
Morocco,MAR,2022,25
Myanmar,MMR,2000,82.3
Myanmar,MMR,2005,79.8
Myanmar,MMR,2007,78.4
Myanmar,MMR,2010,75.9
Myanmar,MMR,2015,73.4
Myanmar,MMR,2020,70.6
Myanmar,MMR,2021,69.9
Myanmar,MMR,2022,69.5
Namibia,NAM,2000,33.9
Namibia,NAM,2005,31
Namibia,NAM,2007,29.9
Namibia,NAM,2010,28.1
Namibia,NAM,2015,26
Namibia,NAM,2020,23.8
Namibia,NAM,2021,23.5
Namibia,NAM,2022,23
Nauru,NRU,2000,57.3
Nauru,NRU,2005,55.2
Nauru,NRU,2007,53.9
Nauru,NRU,2010,52.9
Nauru,NRU,2015,51
Nauru,NRU,2020,49.2
Nauru,NRU,2021,49
Nauru,NRU,2022,48.6
Nepal,NPL,2000,74.2
Nepal,NPL,2005,67.5
Nepal,NPL,2007,64.1
Nepal,NPL,2010,59.9
Nepal,NPL,2015,53.6
Nepal,NPL,2020,47.8
Nepal,NPL,2021,46.8
Nepal,NPL,2022,45.7
Netherlands,NLD,2000,37.2
Netherlands,NLD,2005,33.4
Netherlands,NLD,2007,32
Netherlands,NLD,2010,30.3
Netherlands,NLD,2015,27
Netherlands,NLD,2020,24.4
Netherlands,NLD,2021,23.9
Netherlands,NLD,2022,23.5
New Zealand,NZL,2000,31.2
New Zealand,NZL,2005,25.8
New Zealand,NZL,2007,23.8
New Zealand,NZL,2010,21.2
New Zealand,NZL,2015,17.5
New Zealand,NZL,2020,14.5
New Zealand,NZL,2021,14
New Zealand,NZL,2022,13.4
Niger,NER,2000,16.8
Niger,NER,2005,15.9
Niger,NER,2007,15.6
Niger,NER,2010,15.2
Niger,NER,2015,14.6
Niger,NER,2020,14.1
Niger,NER,2021,14
Niger,NER,2022,14
Nigeria,NGA,2000,19.3
Nigeria,NGA,2005,14.7
Nigeria,NGA,2007,13.2
Nigeria,NGA,2010,11.2
Nigeria,NGA,2015,8.6
Nigeria,NGA,2020,6.7
Nigeria,NGA,2021,6.4
Nigeria,NGA,2022,6.1
North America,,2000,35.55818
North America,,2005,32.93284
North America,,2007,32.085804
North America,,2010,30.607134
North America,,2015,28.595022
North America,,2020,26.754683
North America,,2021,26.467234
North America,,2022,25.992676
North Korea,PRK,2000,58.9
North Korea,PRK,2005,51.7
North Korea,PRK,2007,48.9
North Korea,PRK,2010,45.3
North Korea,PRK,2015,39.7
North Korea,PRK,2020,34.8
North Korea,PRK,2021,33.9
North Korea,PRK,2022,33
Norway,NOR,2000,46.1
Norway,NOR,2005,35.7
Norway,NOR,2007,32.4
Norway,NOR,2010,27.6
Norway,NOR,2015,21.3
Norway,NOR,2020,16.6
Norway,NOR,2021,15.7
Norway,NOR,2022,14.9
Oceania,,2000,35.371742
Oceania,,2005,32.48512
Oceania,,2007,31.290451
Oceania,,2010,29.675344
Oceania,,2015,27.262068
Oceania,,2020,25.042694
Oceania,,2021,24.76508
Oceania,,2022,24.3721
Oman,OMN,2000,14.3
Oman,OMN,2005,14.8
Oman,OMN,2007,14.9
Oman,OMN,2010,15.3
Oman,OMN,2015,15.7
Oman,OMN,2020,16.2
Oman,OMN,2021,16.4
Oman,OMN,2022,16.5
Pakistan,PAK,2000,57.9
Pakistan,PAK,2005,50.3
Pakistan,PAK,2007,47.6
Pakistan,PAK,2010,43.5
Pakistan,PAK,2015,37.6
Pakistan,PAK,2020,32.8
Pakistan,PAK,2021,31.7
Pakistan,PAK,2022,30.8
Palau,PLW,2000,38.4
Palau,PLW,2005,35.2
Palau,PLW,2007,34.1
Palau,PLW,2010,32.4
Palau,PLW,2015,30
Palau,PLW,2020,27.9
Palau,PLW,2021,27.6
Palau,PLW,2022,27.1
Panama,PAN,2000,22.5
Panama,PAN,2005,18
Panama,PAN,2007,16.4
Panama,PAN,2010,14.3
Panama,PAN,2015,11.6
Panama,PAN,2020,9.1
Panama,PAN,2021,8.8
Panama,PAN,2022,8.4
Papua New Guinea,PNG,2000,71
Papua New Guinea,PNG,2005,67
Papua New Guinea,PNG,2007,65.2
Papua New Guinea,PNG,2010,62.7
Papua New Guinea,PNG,2015,58.9
Papua New Guinea,PNG,2020,55.4
Papua New Guinea,PNG,2021,54.9
Papua New Guinea,PNG,2022,54.3
Paraguay,PRY,2000,44.4
Paraguay,PRY,2005,35.7
Paraguay,PRY,2007,32.8
Paraguay,PRY,2010,28.9
Paraguay,PRY,2015,23.4
Paraguay,PRY,2020,19
Paraguay,PRY,2021,18.3
Paraguay,PRY,2022,17.6
Peru,PER,2000,55.8
Peru,PER,2005,38.7
Peru,PER,2007,33.3
Peru,PER,2010,27
Peru,PER,2015,18.9
Peru,PER,2020,13.2
Peru,PER,2021,12.4
Peru,PER,2022,11.6
Philippines,PHL,2000,57.7
Philippines,PHL,2005,52
Philippines,PHL,2007,49.9
Philippines,PHL,2010,46.7
Philippines,PHL,2015,42.1
Philippines,PHL,2020,38.1
Philippines,PHL,2021,37.1
Philippines,PHL,2022,36.2
Poland,POL,2000,46.2
Poland,POL,2005,40.6
Poland,POL,2007,38.7
Poland,POL,2010,36
Poland,POL,2015,31.9
Poland,POL,2020,28.1
Poland,POL,2021,27.5
Poland,POL,2022,27.1
Portugal,PRT,2000,36.7
Portugal,PRT,2005,35.2
Portugal,PRT,2007,34.6
Portugal,PRT,2010,33.5
Portugal,PRT,2015,32.2
Portugal,PRT,2020,30.9
Portugal,PRT,2021,30.7
Portugal,PRT,2022,30.5
Qatar,QAT,2000,23
Qatar,QAT,2005,22.7
Qatar,QAT,2007,22.6
Qatar,QAT,2010,22.6
Qatar,QAT,2015,22.6
Qatar,QAT,2020,22.7
Qatar,QAT,2021,22.8
Qatar,QAT,2022,22.6
Romania,ROU,2000,48
Romania,ROU,2005,46
Romania,ROU,2007,44.9
Romania,ROU,2010,43.5
Romania,ROU,2015,41.3
Romania,ROU,2020,39.5
Romania,ROU,2021,39
Romania,ROU,2022,38.6
Russia,RUS,2000,53.4
Russia,RUS,2005,50.3
Russia,RUS,2007,49.3
Russia,RUS,2010,47.5
Russia,RUS,2015,44.7
Russia,RUS,2020,42
Russia,RUS,2021,41.5
Russia,RUS,2022,41.1
Rwanda,RWA,2000,34.4
Rwanda,RWA,2005,30.1
Rwanda,RWA,2007,28.7
Rwanda,RWA,2010,26.6
Rwanda,RWA,2015,24
Rwanda,RWA,2020,21.8
Rwanda,RWA,2021,21.4
Rwanda,RWA,2022,21
Saint Lucia,LCA,2000,33.1
Saint Lucia,LCA,2005,30.7
Saint Lucia,LCA,2007,29.8
Saint Lucia,LCA,2010,28.7
Saint Lucia,LCA,2015,26.9
Saint Lucia,LCA,2020,25.3
Saint Lucia,LCA,2021,25.2
Saint Lucia,LCA,2022,24.7
Samoa,WSM,2000,59.2
Samoa,WSM,2005,51.2
Samoa,WSM,2007,48.3
Samoa,WSM,2010,44.2
Samoa,WSM,2015,38.2
Samoa,WSM,2020,33.4
Samoa,WSM,2021,32.5
Samoa,WSM,2022,31.6
Sao Tome and Principe,STP,2000,10.7
Sao Tome and Principe,STP,2005,11.2
Sao Tome and Principe,STP,2007,11.4
Sao Tome and Principe,STP,2010,11.9
Sao Tome and Principe,STP,2015,12.5
Sao Tome and Principe,STP,2020,13.4
Sao Tome and Principe,STP,2021,13.5
Sao Tome and Principe,STP,2022,13.7
Saudi Arabia,SAU,2000,24.8
Saudi Arabia,SAU,2005,25.4
Saudi Arabia,SAU,2007,25.6
Saudi Arabia,SAU,2010,25.9
Saudi Arabia,SAU,2015,26.5
Saudi Arabia,SAU,2020,27.4
Saudi Arabia,SAU,2021,27.3
Saudi Arabia,SAU,2022,27.6
Senegal,SEN,2000,28.1
Senegal,SEN,2005,23.3
Senegal,SEN,2007,21.5
Senegal,SEN,2010,19.3
Senegal,SEN,2015,16
Senegal,SEN,2020,13.2
Senegal,SEN,2021,12.8
Senegal,SEN,2022,12.3
Serbia,SRB,2000,50.8
Serbia,SRB,2005,48.4
Serbia,SRB,2007,47.3
Serbia,SRB,2010,45.7
Serbia,SRB,2015,43.2
Serbia,SRB,2020,41
Serbia,SRB,2021,40.8
Serbia,SRB,2022,39.9
Seychelles,SYC,2000,43.9
Seychelles,SYC,2005,41.4
Seychelles,SYC,2007,40.6
Seychelles,SYC,2010,39.2
Seychelles,SYC,2015,37.2
Seychelles,SYC,2020,35.3
Seychelles,SYC,2021,35.1
Seychelles,SYC,2022,34.7
Sierra Leone,SLE,2000,65.3
Sierra Leone,SLE,2005,50.1
Sierra Leone,SLE,2007,45.1
Sierra Leone,SLE,2010,38.1
Sierra Leone,SLE,2015,28.8
Sierra Leone,SLE,2020,22.2
Sierra Leone,SLE,2021,20.9
Sierra Leone,SLE,2022,19.8
Singapore,SGP,2000,28.1
Singapore,SGP,2005,28.1
Singapore,SGP,2007,28
Singapore,SGP,2010,28
Singapore,SGP,2015,28
Singapore,SGP,2020,27.7
Singapore,SGP,2021,27.7
Singapore,SGP,2022,27.9
Slovakia,SVK,2000,43.8
Slovakia,SVK,2005,41.8
Slovakia,SVK,2007,41.1
Slovakia,SVK,2010,40
Slovakia,SVK,2015,38.3
Slovakia,SVK,2020,37
Slovakia,SVK,2021,36.6
Slovakia,SVK,2022,36.3
Slovenia,SVN,2000,28.3
Slovenia,SVN,2005,26.6
Slovenia,SVN,2007,25.9
Slovenia,SVN,2010,25.1
Slovenia,SVN,2015,23.7
Slovenia,SVN,2020,22.3
Slovenia,SVN,2021,22
Slovenia,SVN,2022,21.8
Solomon Islands,SLB,2000,60.4
Solomon Islands,SLB,2005,58.6
Solomon Islands,SLB,2007,57.9
Solomon Islands,SLB,2010,57.1
Solomon Islands,SLB,2015,55.4
Solomon Islands,SLB,2020,54.6
Solomon Islands,SLB,2021,54.5
Solomon Islands,SLB,2022,54.4
South Africa,ZAF,2000,35.7
South Africa,ZAF,2005,35.2
South Africa,ZAF,2007,35.2
South Africa,ZAF,2010,35
South Africa,ZAF,2015,35.2
South Africa,ZAF,2020,34.9
South Africa,ZAF,2021,34.9
South Africa,ZAF,2022,34.9
South America,,2000,33.513016
South America,,2005,28.46459
South America,,2007,26.553925
South America,,2010,24.28315
South America,,2015,20.937813
South America,,2020,18.230162
South America,,2021,17.713228
South America,,2022,17.26302
South Korea,KOR,2000,63.3
South Korea,KOR,2005,55
South Korea,KOR,2007,52
South Korea,KOR,2010,47.6
South Korea,KOR,2015,41.4
South Korea,KOR,2020,36
South Korea,KOR,2021,35
South Korea,KOR,2022,34.1
Spain,ESP,2000,42.4
Spain,ESP,2005,39
Spain,ESP,2007,38
Spain,ESP,2010,35.9
Spain,ESP,2015,33.1
Spain,ESP,2020,30.3
Spain,ESP,2021,29.9
Spain,ESP,2022,29.4
Sri Lanka,LKA,2000,51
Sri Lanka,LKA,2005,47.3
Sri Lanka,LKA,2007,46
Sri Lanka,LKA,2010,43.9
Sri Lanka,LKA,2015,40.7
Sri Lanka,LKA,2020,37.9
Sri Lanka,LKA,2021,37.3
Sri Lanka,LKA,2022,36.8
Sweden,SWE,2000,51.9
Sweden,SWE,2005,45.1
Sweden,SWE,2007,43
Sweden,SWE,2010,39.6
Sweden,SWE,2015,34.6
Sweden,SWE,2020,30.3
Sweden,SWE,2021,29.5
Sweden,SWE,2022,28.9
Switzerland,CHE,2000,32.9
Switzerland,CHE,2005,31.6
Switzerland,CHE,2007,31.3
Switzerland,CHE,2010,30.5
Switzerland,CHE,2015,29.6
Switzerland,CHE,2020,28.6
Switzerland,CHE,2021,28.5
Switzerland,CHE,2022,28.2
Tanzania,TZA,2000,48.2
Tanzania,TZA,2005,36.8
Tanzania,TZA,2007,33.3
Tanzania,TZA,2010,28.5
Tanzania,TZA,2015,21.9
Tanzania,TZA,2020,17
Tanzania,TZA,2021,16.1
Tanzania,TZA,2022,15.3
Thailand,THA,2000,49.2
Thailand,THA,2005,46.2
Thailand,THA,2007,44.5
Thailand,THA,2010,43
Thailand,THA,2015,40.2
Thailand,THA,2020,37.8
Thailand,THA,2021,37.2
Thailand,THA,2022,36.9
Togo,TGO,2000,26.2
Togo,TGO,2005,21.6
Togo,TGO,2007,19.9
Togo,TGO,2010,17.8
Togo,TGO,2015,14.8
Togo,TGO,2020,12.5
Togo,TGO,2021,12.1
Togo,TGO,2022,11.7
Tonga,TON,2000,52.8
Tonga,TON,2005,51.3
Tonga,TON,2007,50.7
Tonga,TON,2010,50.1
Tonga,TON,2015,48.6
Tonga,TON,2020,47.6
Tonga,TON,2021,47.1
Tonga,TON,2022,47
Tunisia,TUN,2000,55.1
Tunisia,TUN,2005,50.8
Tunisia,TUN,2007,49.6
Tunisia,TUN,2010,47.3
Tunisia,TUN,2015,43.8
Tunisia,TUN,2020,40.7
Tunisia,TUN,2021,40.3
Tunisia,TUN,2022,39.5
Turkey,TUR,2000,52.9
Turkey,TUR,2005,49.9
Turkey,TUR,2007,48.7
Turkey,TUR,2010,47.2
Turkey,TUR,2015,44.6
Turkey,TUR,2020,42.1
Turkey,TUR,2021,41.9
Turkey,TUR,2022,41.2
Turkmenistan,TKM,2000,28.8
Turkmenistan,TKM,2005,22.7
Turkmenistan,TKM,2007,20.7
Turkmenistan,TKM,2010,18
Turkmenistan,TKM,2015,14.4
Turkmenistan,TKM,2020,11.6
Turkmenistan,TKM,2021,11.1
Turkmenistan,TKM,2022,10.7
Tuvalu,TUV,2000,69.1
Tuvalu,TUV,2005,63.6
Tuvalu,TUV,2007,61.7
Tuvalu,TUV,2010,58.3
Tuvalu,TUV,2015,53.9
Tuvalu,TUV,2020,50
Tuvalu,TUV,2021,48.9
Tuvalu,TUV,2022,48.2
Uganda,UGA,2000,36.2
Uganda,UGA,2005,28.1
Uganda,UGA,2007,25.2
Uganda,UGA,2010,21.7
Uganda,UGA,2015,16.9
Uganda,UGA,2020,13.2
Uganda,UGA,2021,12.5
Uganda,UGA,2022,11.9
Ukraine,UKR,2000,62.4
Ukraine,UKR,2005,56.1
Ukraine,UKR,2007,53.4
Ukraine,UKR,2010,49.8
Ukraine,UKR,2015,44.8
Ukraine,UKR,2020,40.1
Ukraine,UKR,2021,39.4
Ukraine,UKR,2022,38.4
United Arab Emirates,ARE,2000,34.1
United Arab Emirates,ARE,2005,28.3
United Arab Emirates,ARE,2007,26.2
United Arab Emirates,ARE,2010,23.4
United Arab Emirates,ARE,2015,19.5
United Arab Emirates,ARE,2020,16.4
United Arab Emirates,ARE,2021,15.9
United Arab Emirates,ARE,2022,15.4
United Kingdom,GBR,2000,38.5
United Kingdom,GBR,2005,31.4
United Kingdom,GBR,2007,29.2
United Kingdom,GBR,2010,25.9
United Kingdom,GBR,2015,21.2
United Kingdom,GBR,2020,17.4
United Kingdom,GBR,2021,16.7
United Kingdom,GBR,2022,16.1
United States,USA,2000,37.8
United States,USA,2005,35.7
United States,USA,2007,35.1
United States,USA,2010,33.8
United States,USA,2015,32.2
United States,USA,2020,30.6
United States,USA,2021,30.4
United States,USA,2022,29.9
Upper-middle-income countries,,2000,48.33787
Upper-middle-income countries,,2005,46.30251
Upper-middle-income countries,,2007,45.50336
Upper-middle-income countries,,2010,44.53184
Upper-middle-income countries,,2015,42.964256
Upper-middle-income countries,,2020,41.63868
Upper-middle-income countries,,2021,41.283104
Upper-middle-income countries,,2022,41.134354
Uruguay,URY,2000,41.4
Uruguay,URY,2005,36.4
Uruguay,URY,2007,34.5
Uruguay,URY,2010,31.8
Uruguay,URY,2015,28.1
Uruguay,URY,2020,24.7
Uruguay,URY,2021,24
Uruguay,URY,2022,23.4
Uzbekistan,UZB,2000,53.9
Uzbekistan,UZB,2005,47.7
Uzbekistan,UZB,2007,45.6
Uzbekistan,UZB,2010,42.4
Uzbekistan,UZB,2015,38
Uzbekistan,UZB,2020,33.8
Uzbekistan,UZB,2021,33.2
Uzbekistan,UZB,2022,32.4
Vietnam,VNM,2000,57.2
Vietnam,VNM,2005,53.7
Vietnam,VNM,2007,52.3
Vietnam,VNM,2010,49.9
Vietnam,VNM,2015,47.1
Vietnam,VNM,2020,44.3
Vietnam,VNM,2021,43.7
Vietnam,VNM,2022,43
World,OWID_WRL,2000,50.659523
World,OWID_WRL,2005,46.676735
World,OWID_WRL,2007,45.058407
World,OWID_WRL,2010,42.865887
World,OWID_WRL,2015,39.4725
World,OWID_WRL,2020,36.4855
World,OWID_WRL,2021,35.878204
World,OWID_WRL,2022,35.371094
Yemen,YEM,2000,41
Yemen,YEM,2005,39.3
Yemen,YEM,2007,38.6
Yemen,YEM,2010,37.7
Yemen,YEM,2015,36.4
Yemen,YEM,2020,34.9
Yemen,YEM,2021,34.9
Yemen,YEM,2022,34.5
Zambia,ZMB,2000,30.3
Zambia,ZMB,2005,29
Zambia,ZMB,2007,28.7
Zambia,ZMB,2010,28.1
Zambia,ZMB,2015,26.9
Zambia,ZMB,2020,25.9
Zambia,ZMB,2021,25.9
Zambia,ZMB,2022,25.6
Zimbabwe,ZWE,2000,37.5
Zimbabwe,ZWE,2005,32.9
Zimbabwe,ZWE,2007,31.2
Zimbabwe,ZWE,2010,28.8
Zimbabwe,ZWE,2015,25.4
Zimbabwe,ZWE,2020,22.5
Zimbabwe,ZWE,2021,21.9
Zimbabwe,ZWE,2022,21.4